Source,Target,Weight
Food,Korean Table d'hote,0.6874578
Order,Mood,0.687233269
Restaurant,Cheonmachong,0.687182248
Entrance,Mom,0.687130094
Visit,Entrance fee,0.68712914
Popular restaurant,Arrival,0.686989129
Silla,Cheomseongdae,0.686697662
Cherry blossom,Recommendation,0.686552763
Wind,Leaf Wraps and Rice,0.686419368
Weather,Space,0.686321437
Arrival,One day,0.686293304
Mood,Yangdong,0.686130106
Order,Possibility,0.685967445
Seokguram,Parking lot,0.685908079
Korean beef,Utilization,0.685835898
Accomodation,Mom,0.685743928
Night view,Walk,0.68566376
Mind,One day,0.685538173
Travel,Mom,0.685187578
Korean beef,Parking lot,0.685182571
Anapji,Scenery,0.6850577
Arrival,Mind,0.685042381
Photo,Side dish,0.684934378
Entrance,History,0.68488425
Hanok,Yangdong,0.684740126
Night view,Entrance fee,0.684674382
Korean Table d'hote,Building,0.684610724
History,Experience,0.684400082
Course,Street,0.684387147
Travel,Pension,0.684301734
Start,Mom,0.684256077
Anapji,Weather,0.684095085
Appearance,Seokguram,0.683867216
Start,Entrance fee,0.683859944
Bulgogi,Leaf Wraps and Rice,0.68374306
History,World,0.683678806
Bomun complex,Utilization,0.683625102
Start,Entrance,0.683474123
Course,Korean beef,0.683226109
Departure,Maple,0.68308568
Bulguksa temple,Leaf Wraps and Rice,0.683027565
Family,Leaf Wraps and Rice,0.682917237
Recommendation,Cheonmachong,0.682787061
Sightseeing,Grilled Short Rib Patties,0.682644963
Famous,Lunch,0.68262589
Friend,Entrance,0.682434022
Sky,Sound,0.681987643
Coffee,Korean Table d'hote,0.681971073
Bomun complex,Wind,0.681963384
Sky,Name,0.681850374
Recommendation,Name,0.681758583
Visit,Street,0.681715012
Weather,Lunch,0.681709468
Menu,Downtown,0.68157196
Friend,Departure,0.681528032
Museum,Era,0.681407452
Night view,History,0.681321621
Bomun complex,History,0.681291163
Cafe,Bus,0.68103677
Restaurant,Location,0.68094337
Downtown,One day,0.680665612
Leaf Wraps and Rice,Lotus,0.680513322
Appearance,Entrance,0.680488408
Location,Mood,0.680474997
Popular restaurant,Sightseeing,0.680405259
Recommendation,Mood,0.680314481
Bomun complex,Culture,0.680224597
Start,Famous,0.680191815
Complex,Yangdong,0.68018508
Weather,Complex,0.680128276
Cafe,Mind,0.680095136
Daereungwon,Sightseeing,0.680042744
Friend,Complex,0.67990011
Daereungwon,Departure,0.67961663
Mom,Possibility,0.67957449
Morning,Mom,0.679460227
Departure,Walk,0.679420292
Arrival,Complex,0.679223657
Friend,Sound,0.679076552
Mood,Lunch,0.679035723
Popular restaurant,Cheonmachong,0.679034531
Bus,Downtown,0.678985298
Morning,Meal,0.678963304
Friend,Family,0.67893213
Thinking,Sightseeing,0.678886354
Lotus,Street,0.678874433
Mind,Wind,0.678816676
Meal,Branch,0.678797483
Meal,Leaf Wraps and Rice,0.678650856
Travel,Cherry blossom,0.678482413
Cheonmachong,Walk,0.678259134
Site,Building,0.678039908
Menu,Visit,0.677989006
Appearance,Night view,0.677926421
Start,Maple,0.677868843
Culture,Korean beef,0.67762512
Soft tofu,Korean beef,0.677592158
Mood,Departure,0.677483916
Appearance,Scenery,0.677422702
Mind,Hanok,0.677305698
Gyeongju,Arrival,0.677248895
Sightseeing,Mind,0.677245796
Start,Tree,0.677226126
Entrance,Sound,0.677155375
Popular restaurant,Bomun complex,0.677126229
