Source,Target,Weight
Seaside,Grilled dish,0.854458153
Jeju city,Emotion,0.854302168
Sky,Airplane,0.854146898
Recommendation,Weather,0.853971899
Coast,Recommendation,0.853640556
Scenery,Ilchulbong,0.853382409
Reservation,Resort,0.85317713
Time,Use,0.853120685
Appearance,Recommendation,0.852959931
Village,Braised cutlassfish,0.852945209
People,Seaside,0.852549016
Popular restaurant,Photo,0.852535665
Location,Grilled dish,0.852533698
Abalone,Summer,0.852490902
Photo,Wind,0.852481186
Coast,Mood,0.852391481
Cutlassfish,Family,0.85238862
Jeju Island,Meal,0.852383733
Park,Introduction,0.852272451
Jeju Island,Recommendation,0.85215348
Popular restaurant,Coffee,0.851925552
Emotion,Story,0.851778448
Restaurant,Pension,0.851222396
Order,Spot,0.851179659
Jeju Island,Dinner,0.851147234
Weather,Emotion,0.851137459
House,Airplane,0.851134658
Travel,Meal,0.851009369
Travel,Lunch,0.850909591
House,Emotion,0.850533545
Course,People,0.850103617
Experience,Family,0.850073695
Recommendation,Hallasan mountain,0.850069165
Meat,Experience,0.849855959
Sea,Park,0.849435329
Meat,Coffee,0.849434614
Seaside,Summer,0.849311411
Jeju Island,Hallasan mountain,0.849266231
Nature,Emotion,0.849174857
Meat,Woman diver,0.849069238
Airport,Airplane,0.848939419
Emotion,Branch,0.848933756
Meal,Aewol,0.848880291
Photo,Pension,0.848878801
Jeju Island,House,0.848870516
Pension,Side dish,0.848854899
Travel,Dinner,0.848668098
Experience,Visit,0.848549962
Popular restaurant,Hot Pot,0.848534048
Hot Pot,Autumn,0.848298132
Meat,Summer,0.848199308
Airport,Autumn,0.848171413
Order,Autumn,0.847931981
Course,Name,0.8477512
Price,Resort,0.847501695
Jeju city,Aewol,0.84738785
Accomodation,Aewol,0.847275198
Jeju Island,Airport,0.847196519
Hallasan mountain,Airplane,0.847174287
Hallasan mountain,Sky,0.847140074
Sea,House,0.846961737
Cutlassfish,Seogwipo,0.846859694
Mood,Filming,0.846848488
Dinner,Side dish,0.846821427
Jeju city,Seaside,0.846721888
Space,Emotion,0.846721292
Museum,Jungmun tourism complex,0.846399665
Photo,Braised cutlassfish,0.846226871
Reservation,Sightseeing,0.846170902
Meat,Tourism,0.846087694
Scenery,Seongsan,0.846045554
Village,Jeju city,0.845939934
Tree,WaterFall,0.845898092
Weather,Braised cutlassfish,0.845769107
Food,Summer,0.845662653
Photo,Introduction,0.8456496
Morning,Airplane,0.845611095
Coast,Hallasan mountain,0.845337987
Meat,Space,0.84500891
Popular restaurant,Grilled dish,0.844992816
Meat,Mood,0.844961464
Mood,Tourism,0.844949901
Accomodation,Coast,0.844864726
Tree,Possibility,0.844638109
Order,Space,0.844516754
Popular restaurant,Dinner,0.844408154
Photo,Tourism,0.844332099
Hotel,Accomodation,0.844225645
Seongsan,Airplane,0.844210207
Recommendation,Filming,0.844117045
Scenery,Dinner,0.84402436
Popular restaurant,Famous,0.843968928
Sightseeing,Introduction,0.843937874
Mood,Entrance,0.84389925
Cutlassfish,Price,0.843813539
Visit,Ready,0.843796134
Village,Introduction,0.843720317
Braised cutlassfish,Name,0.843634307
