Source,Target,Weight
City hall,School,0.799565673
Housing,Bicycle,0.799565434
Space,Interior,0.799512684
Agriculture,Program,0.799428821
Group,Schedule,0.799250066
Use,Resource,0.799063504
Center,School,0.798948109
Road,Apartment,0.798884094
Group,Civil complaint,0.798774719
Capital,Geumgang river,0.798377991
Geumgang river,Nature,0.798366547
Competition,Civil complaint,0.798356652
Business,Environment,0.798356175
Representative,Civil complaint,0.797976196
Photo,Seoul,0.797940493
Schedule,Program,0.797934711
Rural,Happiness,0.797737658
Gongju,Civil complaint,0.797725797
Seoul,Building,0.797629535
Happiness,Solar thermal power,0.797615409
Event,Park,0.797479928
Experience,Restaurant,0.797301292
Rural,Love,0.797260046
Culture,School,0.796794116
Price,Bicycle,0.796616197
Park,Bicycle,0.796608508
Use,Provide,0.796414256
City hall,Apartment,0.796405792
Utilization,Interior,0.796337366
History,Bicycle,0.796278
Agriculture,Resource,0.796160996
City,Environment,0.795959771
Magoksa temple,Festival,0.79578054
Progress,Competition,0.795663834
Land,Construction,0.795624554
Culture,History,0.795567214
Development,Evaluation,0.795533538
Building,Location,0.795529544
Village,School,0.79546684
Provide,Afternoon,0.795334995
City,Management,0.795222819
Park,Restaurant,0.795210719
Activity,Civil complaint,0.795201838
Lee Kun Young,City hall,0.795117915
Family,Restaurant,0.794874907
Event,Love,0.794738531
Happiness,Use,0.794724762
Housing,Health,0.794696033
Daejeon,Shingwan-dong,0.794521511
School,Public official,0.794412792
School,Banpo-myeon,0.794173181
Gyeryongsan mountain,Gapsa temple,0.79411459
Gongju,City hall,0.794063509
Volunteer,Program,0.794028521
Price,Restaurant,0.793996513
Health,Interior,0.793708742
Housing,Restaurant,0.793707192
Lee Kun Young,Civil complaint,0.793542922
Visit,Creation,0.793270409
Korea,Provide,0.793200135
Installation,Designation,0.793065012
Competition,Happiness,0.792753994
Market,School,0.792728305
Banpo-myeon,Restaurant,0.792714417
Progress,Society,0.792608976
Agriculture,School,0.792534769
Culture,Progress,0.792479932
Environment,Apartment,0.792465866
Experience,Welfare,0.792282462
